Days,Region,Cases
3,Subcarpathian (PK),0
4,Subcarpathian (PK),0
5,Subcarpathian (PK),0
6,Subcarpathian (PK),0
7,Subcarpathian (PK),1
8,Subcarpathian (PK),3
9,Subcarpathian (PK),6
10,Subcarpathian (PK),7
11,Subcarpathian (PK),8
12,Subcarpathian (PK),11
13,Subcarpathian (PK),11
14,Subcarpathian (PK),14
15,Subcarpathian (PK),17
16,Subcarpathian (PK),19
17,Subcarpathian (PK),25
18,Subcarpathian (PK),29
19,Subcarpathian (PK),30
20,Subcarpathian (PK),37
21,Subcarpathian (PK),43
22,Subcarpathian (PK),53
23,Subcarpathian (PK),61
0,Pomerania (PM),0
1,Pomerania (PM),0
2,Pomerania (PM),0
3,Pomerania (PM),0
4,Pomerania (PM),0
5,Pomerania (PM),0
6,Pomerania (PM),0
7,Pomerania (PM),0
8,Pomerania (PM),0
9,Pomerania (PM),0
10,Pomerania (PM),2
11,Pomerania (PM),2
12,Pomerania (PM),2
13,Pomerania (PM),8
14,Pomerania (PM),9
15,Pomerania (PM),9
16,Pomerania (PM),10
17,Pomerania (PM),14
18,Pomerania (PM),17
19,Pomerania (PM),21
20,Pomerania (PM),22
21,Pomerania (PM),22
22,Pomerania (PM),28
23,Pomerania (PM),32
0,Holy Cross (SK),0
1,Holy Cross (SK),0
2,Holy Cross (SK),0
3,Holy Cross (SK),0
4,Holy Cross (SK),0
5,Holy Cross (SK),0
6,Holy Cross (SK),0
7,Holy Cross (SK),0
8,Holy Cross (SK),0
9,Holy Cross (SK),0
10,Holy Cross (SK),2
11,Holy Cross (SK),3
12,Holy Cross (SK),3
13,Holy Cross (SK),3
14,Holy Cross (SK),4
15,Holy Cross (SK),5
16,Holy Cross (SK),6
17,Holy Cross (SK),7
18,Holy Cross (SK),7
19,Holy Cross (SK),8
20,Holy Cross (SK),8
21,Holy Cross (SK),14
22,Holy Cross (SK),15
23,Holy Cross (SK),22
0,Silesia (SL),0
1,Silesia (SL),0
2,Silesia (SL),0
3,Silesia (SL),0
4,Silesia (SL),2
5,Silesia (SL),5
6,Silesia (SL),7
7,Silesia (SL),8
8,Silesia (SL),11
9,Silesia (SL),12
10,Silesia (SL),12
11,Silesia (SL),14
12,Silesia (SL),18
13,Silesia (SL),24
14,Silesia (SL),30
15,Silesia (SL),42
16,Silesia (SL),46
17,Silesia (SL),56
18,Silesia (SL),66
19,Silesia (SL),77
20,Silesia (SL),87
21,Silesia (SL),107
22,Silesia (SL),127
23,Silesia (SL),141
0,Warmia–Masuria (WN),0
1,Warmia–Masuria (WN),0
2,Warmia–Masuria (WN),1
3,Warmia–Masuria (WN),2
4,Warmia–Masuria (WN),2
5,Warmia–Masuria (WN),2
6,Warmia–Masuria (WN),2
7,Warmia–Masuria (WN),4
8,Warmia–Masuria (WN),4
9,Warmia–Masuria (WN),4
10,Warmia–Masuria (WN),4
11,Warmia–Masuria (WN),5
12,Warmia–Masuria (WN),5
13,Warmia–Masuria (WN),7
14,Warmia–Masuria (WN),11
15,Warmia–Masuria (WN),12
16,Warmia–Masuria (WN),17
17,Warmia–Masuria (WN),20
